5 10 130 
6 10 130 
7 10 150 
8 10 130 
9 10 140 
10 10 130 
11 10 130 
12 10 240 
13 10 140 
14 10 140 
15 10 140 
5 11 140 
6 11 170 
7 11 140 
8 11 140 
9 11 140 
10 11 140 
11 11 150 
12 11 110 
13 11 100 
14 11 120 
15 11 120 
5 12 90 
6 12 100 
7 12 110 
8 12 100 
9 12 100 
10 12 110 
11 12 100 
12 12 110 
13 12 120 
14 12 110 
15 12 110 
5 13 90 
6 13 100 
7 13 100 
8 13 100 
9 13 110 
10 13 110 
11 13 110 
12 13 120 
13 13 120 
14 13 120 
15 13 130 
5 14 100 
6 14 100 
7 14 100 
8 14 110 
9 14 120 
10 14 120 
11 14 120 
12 14 120 
13 14 150 
14 14 120 
15 14 140 
5 15 100 
6 15 100 
7 15 110 
8 15 110 
9 15 110 
10 15 130 
11 15 120 
12 15 120 
13 15 130 
14 15 220 
15 15 190 
5 16 190 
6 16 180 
7 16 180 
8 16 200 
9 16 180 
10 16 200 
11 16 200 
12 16 200 
13 16 240 
14 16 200 
15 16 200 
5 17 210 
6 17 200 
7 17 200 
8 17 200 
9 17 190 
10 17 210 
11 17 210 
12 17 210 
13 17 220 
14 17 230 
15 17 220 
5 18 220 
6 18 210 
7 18 210 
8 18 210 
9 18 220 
10 18 210 
11 18 210 
12 18 220 
13 18 240 
14 18 230 
15 18 240 
5 19 230 
6 19 220 
7 19 220 
8 19 240 
9 19 230 
10 19 230 
11 19 230 
12 19 230 
13 19 280 
14 19 240 
15 19 240 
5 20 240 
6 20 230 
7 20 240 
8 20 230 
9 20 240 
10 20 240 
11 20 230 
12 20 240 
13 20 260 
14 20 250 
15 20 270 
