5 10 9480 
6 10 9180 
7 10 8900 
8 10 8680 
9 10 8280 
10 10 8670 
11 10 8140 
12 10 7980 
13 10 7860 
14 10 8140 
15 10 7920 
5 11 14590 
6 11 10150 
7 11 10290 
8 11 9880 
9 11 9700 
10 11 9550 
11 11 9550 
12 11 9350 
13 11 9360 
14 11 9130 
15 11 8990 
5 12 18200 
6 12 12070 
7 12 12040 
8 12 11830 
9 12 11590 
10 12 11460 
11 12 11250 
12 12 10950 
13 12 10870 
14 12 10700 
15 12 10620 
5 13 21900 
6 13 13380 
7 13 13450 
8 13 13400 
9 13 13250 
10 13 13080 
11 13 13000 
12 13 12870 
13 13 12740 
14 13 12760 
15 13 12440 
5 14 27270 
6 14 15880 
7 14 15840 
8 14 16230 
9 14 15860 
10 14 15770 
11 14 15220 
12 14 15260 
13 14 15040 
14 14 14550 
15 14 14390 
5 15 32250 
6 15 17380 
7 15 17670 
8 15 17600 
9 15 17610 
10 15 17540 
11 15 17490 
12 15 16980 
13 15 17070 
14 15 16900 
15 15 16840 
5 16 38010 
6 16 19960 
7 16 20160 
8 16 20240 
9 16 19910 
10 16 19820 
11 16 19930 
12 16 19380 
13 16 19210 
14 16 19180 
15 16 18910 
5 17 48720 
6 17 23490 
7 17 22790 
8 17 22930 
9 17 22640 
10 17 22540 
11 17 22330 
12 17 21950 
13 17 21900 
14 17 21680 
15 17 21460 
5 18 51090 
6 18 28190 
7 18 25810 
8 18 25680 
9 18 25700 
10 18 25300 
11 18 25340 
12 18 24640 
13 18 24550 
14 18 24360 
15 18 24100 
5 19 59270 
6 19 34540 
7 19 28800 
8 19 29320 
9 19 28500 
10 19 28170 
11 19 27630 
12 19 27350 
13 19 27030 
14 19 26710 
15 19 26410 
5 20 65910 
6 20 41140 
7 20 32000 
8 20 32690 
9 20 31990 
10 20 31340 
11 20 30970 
12 20 30820 
13 20 32560 
14 20 30590 
15 20 29440 
