2A simple 86.10 
2B simple 86.57 
2C simple 86.30 
3A simple 85.46 
3B1 simple 86.03 
3B2 simple 86.62 
3B3 simple 86.37 
3B4 simple 86.75 
3C simple 85.68 
3D simple 88.37 
